Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1U,C_0603_1608Metric,106.680002,53.410998,0,bottom
C2,27p,C_0603_1608Metric,134.747002,75.127998,0,bottom
C3,0.1U,C_0603_1608Metric,105.029002,31.312998,180,bottom
C4,0.1U,C_0603_1608Metric,108.712002,36.138998,0,bottom
C5,0.1U,C_0603_1608Metric,112.395002,36.138998,0,bottom
C6,0.01U,C_0603_1608Metric,133.223002,53.156998,180,bottom
C7,0.1U,C_0603_1608Metric,19.304002,28.264998,90,bottom
C8,0.1U,C_0603_1608Metric,129.921002,53.156998,0,bottom
C9,0.1U,C_0603_1608Metric,116.459002,42.615998,180,bottom
C16,0.1U,C_0603_1608Metric,129.921002,45.536998,0,bottom
C22,0.1U,C_0603_1608Metric,116.246002,71.698998,180,bottom
C23,1U,C_0603_1608Metric,61.214002,13.786998,-90,bottom
C24,1U,C_0603_1608Metric,142.240002,78.175998,0,bottom
C29,0.1U,C_0603_1608Metric,123.317002,66.872998,90,bottom
C32,1U,C_0603_1608Metric,62.992002,10.484998,90,bottom
C40,27p,C_0603_1608Metric,52.070002,21.025998,180,bottom
C41,27p,C_0603_1608Metric,48.768002,21.025998,180,bottom
C42,0.1U,C_0603_1608Metric,62.992002,13.786998,-90,bottom
C44,0.1U,C_0603_1608Metric,119.761002,45.155998,0,bottom
C46,27p,C_0603_1608Metric,134.747002,66.110998,0,bottom
C47,0.1U,C_0603_1608Metric,31.623002,7.563998,0,bottom
C48,0.1U,C_0603_1608Metric,28.321002,9.341998,180,bottom
C49,0.1U,C_0603_1608Metric,126.873002,64.205998,180,bottom
C52,1U,C_0603_1608Metric,112.903,44.647998,180,bottom
C56,0.1U,C_0603_1608Metric,110.363002,41.853998,-90,bottom
C66,0.1U,C_0603_1608Metric,42.672002,19.501998,0,bottom
C67,0.1U,C_0603_1608Metric,34.417002,29.407998,90,bottom
C68,0.1U,C_0603_1608Metric,23.114002,21.660998,180,bottom
C69,0.1U,C_0603_1608Metric,29.210002,12.135998,-90,bottom
C70,0.1U,C_0603_1608Metric,35.560002,12.643998,-90,bottom
C71,0.1U,C_0603_1608Metric,42.672002,14.167998,0,bottom
C73,1U,C_0603_1608Metric,23.114002,14.548998,180,bottom
C74,0.1U,C_0603_1608Metric,42.672002,17.723998,0,bottom
C75,0.1U,C_0603_1608Metric,23.114002,23.438998,180,bottom
C76,1U,C_0603_1608Metric,23.114002,16.326998,180,bottom
C77,0.1U,C_0603_1608Metric,29.337002,29.407998,90,bottom
C78,0.1U,C_0603_1608Metric,27.432002,12.135998,-90,bottom
C86,1U,C_0603_1608Metric,142.240002,66.872998,0,bottom
C87,0.1U,C_0603_1608Metric,142.240002,76.397998,0,bottom
C95,1000p,C_0603_1608Metric,118.872002,53.791998,-90,bottom
D7,MMBD7000LT3G,SOT-23-3,132.588002,59.760998,180,bottom
D19,MSS1P3L-M3/89A,D_MicroSMP_AK,66.421,6.928998,0,bottom
J6,GSB1C41110SSHR,GSB1C41110SSHR,5.28,11.265,90,bottom
Q1,DMG2301L-7,SOT-23-3,123.825002,53.791998,180,bottom
Q2,DMG2302UK-7,SOT-23-3,123.825002,50.108998,180,bottom
Q7,DMG2302UK-7,SOT-23-3,20.193002,40.654996,90,bottom
Q11,DMG2302UK-7,SOT-23-3,123.825002,57.601998,180,bottom
Q12,MBT3946DW1T1G,SOT-363_SC-70-6,136.525002,59.760998,-90,bottom
R1,10K0,R_0603_1608Metric,134.747002,73.349998,0,bottom
R2,470K,R_0603_1608Metric,134.747002,76.905998,180,bottom
R3,10K0,R_0603_1608Metric,29.464002,38.297998,-90,bottom
R4,1K00,R_0603_1608Metric,105.029002,29.534998,0,bottom
R7,10K0,R_0603_1608Metric,40.513002,30.169998,0,bottom
R9,10K0,R_0603_1608Metric,40.513002,39.186998,0,bottom
R10,100R,R_0603_1608Metric,40.513002,28.391998,0,bottom
R11,1K00,R_0603_1608Metric,43.815002,32.963998,0,bottom
R12,10K0,R_0603_1608Metric,109.474002,77.159998,180,bottom
R14,100K,R_0603_1608Metric,117.094002,53.791998,-90,bottom
R15,1K00,R_0603_1608Metric,113.919002,41.853998,90,bottom
R16,10K0,R_0603_1608Metric,109.474002,73.603998,180,bottom
R18,100R,R_0603_1608Metric,31.242002,41.599998,90,bottom
R19,10R,R_0603_1608Metric,120.650002,53.791998,-90,bottom
R20,1K00,R_0603_1608Metric,43.815002,39.186998,180,bottom
R22,100R,R_0603_1608Metric,101.473002,36.138998,180,bottom
R26,10K0,R_0603_1608Metric,31.242002,38.297998,90,bottom
R28,47K0,R_0603_1608Metric,134.747002,64.332998,0,bottom
R30,1K00,R_0603_1608Metric,43.815002,28.391998,0,bottom
R31,1K00,R_0603_1608Metric,43.815002,30.169998,0,bottom
R32,20K0,R_0603_1608Metric,129.921002,47.314998,180,bottom
R33,100R,R_0603_1608Metric,127.000002,50.108998,90,bottom
R34,13K0,R_0603_1608Metric,129.921002,43.758998,0,bottom
R36,4K70,R_0603_1608Metric,123.825002,47.314998,180,bottom
R43,10K0,R_0603_1608Metric,17.526002,28.264998,90,bottom
R44,27R,R_0603_1608Metric,23.114002,19.882998,0,bottom
R45,100R,R_0603_1608Metric,43.815002,37.408998,0,bottom
R46,10K0,R_0603_1608Metric,40.513002,37.408998,180,bottom
R47,100R,R_0603_1608Metric,127.889002,73.349998,180,bottom
R49,1K00,R_0603_1608Metric,43.815002,35.630998,0,bottom
R50,10K0,R_0603_1608Metric,40.513002,35.630998,0,bottom
R51,100R,R_0603_1608Metric,131.445002,73.349998,180,bottom
R53,47K0,R_0603_1608Metric,15.494002,42.615998,-90,bottom
R56,10K0,R_0603_1608Metric,31.623002,9.341998,180,bottom
R58,10K0,R_0603_1608Metric,28.321002,7.563998,0,bottom
R60,100K,R_0603_1608Metric,126.873002,66.872998,-90,bottom
R61,100K,R_0603_1608Metric,126.873002,70.174998,-90,bottom
R62,10R,R_0603_1608Metric,129.476002,62.554998,-90,bottom
R63,47K0,R_0603_1608Metric,134.747002,67.888998,0,bottom
R64,20K0,R_0603_1608Metric,109.474002,75.381998,180,bottom
R65,100R,R_0603_1608Metric,127.000002,57.601998,-90,bottom
