Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,4.7U,C_1206_3216Metric,91.186002,43.250998,0,top
C11,4.7U,C_1206_3216Metric,91.186002,40.583998,0,top
C12,4.7U,C_1206_3216Metric,91.186002,37.916998,0,top
C13,4.7U,C_1206_3216Metric,91.186002,35.376998,0,top
C14,4.7U,C_1206_3216Metric,91.186002,45.917998,0,top
C15,0.1U,C_0603_1608Metric,78.232002,38.805998,180,top
C17,4.7U,C_1206_3216Metric,58.674002,73.095998,-90,top
C18,4.7U,C_1206_3216Metric,56.007002,73.095998,-90,top
C19,4.7U,C_1206_3216Metric,53.340002,73.095998,-90,top
C20,4.7U,C_1206_3216Metric,50.673002,73.095998,-90,top
C21,4.7U,C_1206_3216Metric,48.006002,73.095998,-90,top
C25,4.7U,C_1206_3216Metric,75.184,6.858,180,top
C26,1U,C_0603_1608Metric,54.102002,44.901998,180,top
C27,1U,C_0603_1608Metric,33.795002,51.562,0,top
C30,1U,C_0603_1608Metric,54.102002,46.679998,180,top
C31,2200p,C_0603_1608Metric,75.184002,21.914998,180,top
C34,4.7U,C_1206_3216Metric,68.834,14.191,0,top
C35,0.1U,C_0603_1608Metric,68.834,16.477,0,top
C36,0.01U,C_0603_1608Metric,75.184,11.811,180,top
C37,4.7U,C_1206_3216Metric,75.184,9.525,180,top
C38,0.01U,C_0603_1608Metric,67.818,25.748,180,top
C39,220p,C_0603_1608Metric,73.533002,27.502998,180,top
C45,0.01U,C_0603_1608Metric,82.423002,41.599998,90,top
C50,100U,CP_Radial_D10.0mm_P5.00mm,139.7,20.274677,-90,top
C51,100U,CP_Radial_D10.0mm_P5.00mm,108.966,20.401677,-90,top
C53,4.7U,C_1206_3216Metric,128.397002,34.360998,90,top
C54,100U,CP_Radial_D10.0mm_P5.00mm,96.266,20.401677,-90,top
C55,100U,CP_Radial_D10.0mm_P5.00mm,127.381,20.274677,-90,top
C57,4.7U,C_1206_3216Metric,131.064002,34.360998,90,top
C59,0.01U,C_0603_1608Metric,133.350002,34.360998,90,top
C60,0.01U,C_0603_1608Metric,135.128002,34.360998,90,top
C63,1U,C_0603_1608Metric,54.102002,48.584998,180,top
C64,1U,C_0603_1608Metric,60.515502,57.601998,-90,top
C65,0.1U,C_0603_1608Metric,54.165502,58.109998,-90,top
