Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1U,C_0603_1608Metric,96.012,75.819,90,bottom
C2,27p,C_0603_1608Metric,128.651002,75.000998,0,bottom
C3,0.1U,C_0603_1608Metric,91.440002,33.471998,180,bottom
C4,0.1U,C_0603_1608Metric,95.123002,38.297998,0,bottom
C5,0.1U,C_0603_1608Metric,98.806002,38.297998,0,bottom
C6,0.01U,C_0603_1608Metric,127.127002,53.029998,180,bottom
C7,0.1U,C_0603_1608Metric,19.304002,28.264998,90,bottom
C8,0.1U,C_0603_1608Metric,123.825002,53.029998,0,bottom
C9,0.1U,C_0603_1608Metric,100.330002,44.012998,180,bottom
C16,0.1U,C_0603_1608Metric,123.825002,45.409998,0,bottom
C22,0.1U,C_0603_1608Metric,98.974002,66.364998,180,bottom
C23,1U,C_0603_1608Metric,61.214002,13.786998,-90,bottom
C24,1U,C_0603_1608Metric,140.208002,76.143998,0,bottom
C29,0.1U,C_0603_1608Metric,117.221002,66.745998,90,bottom
C32,1U,C_0603_1608Metric,62.992002,10.484998,90,bottom
C40,27p,C_0603_1608Metric,52.070002,21.025998,180,bottom
C41,27p,C_0603_1608Metric,48.768002,21.025998,180,bottom
C42,0.1U,C_0603_1608Metric,62.992002,13.786998,-90,bottom
C44,0.1U,C_0603_1608Metric,103.632002,46.552998,0,bottom
C46,27p,C_0603_1608Metric,128.651002,65.983998,0,bottom
C47,0.1U,C_0603_1608Metric,31.623002,7.563998,0,bottom
C48,0.1U,C_0603_1608Metric,28.321002,9.341998,180,bottom
C49,0.1U,C_0603_1608Metric,120.015002,64.078998,180,bottom
C52,1U,C_0603_1608Metric,96.774,46.044998,180,bottom
C56,0.1U,C_0603_1608Metric,94.234002,43.250998,-90,bottom
C66,0.1U,C_0603_1608Metric,42.672002,19.501998,0,bottom
C67,0.1U,C_0603_1608Metric,34.417002,29.407998,90,bottom
C68,0.1U,C_0603_1608Metric,23.114002,21.660998,180,bottom
C69,0.1U,C_0603_1608Metric,29.210002,12.135998,-90,bottom
C70,0.1U,C_0603_1608Metric,35.560002,12.643998,-90,bottom
C71,0.1U,C_0603_1608Metric,42.672002,14.167998,0,bottom
C73,1U,C_0603_1608Metric,23.114002,14.548998,180,bottom
C74,0.1U,C_0603_1608Metric,42.672002,17.723998,0,bottom
C75,0.1U,C_0603_1608Metric,23.114002,23.438998,180,bottom
C76,1U,C_0603_1608Metric,23.114002,16.326998,180,bottom
C77,0.1U,C_0603_1608Metric,29.337002,29.407998,90,bottom
C78,0.1U,C_0603_1608Metric,27.432002,12.135998,-90,bottom
C86,1U,C_0603_1608Metric,140.208002,64.840998,0,bottom
C87,0.1U,C_0603_1608Metric,140.208002,74.365998,0,bottom
C95,1000p,C_0603_1608Metric,112.776002,53.664998,-90,bottom
D7,MMBD7000LT3G,SOT-23-3,126.492002,59.633998,180,bottom
D19,MSS1P3L-M3/89A,D_MicroSMP_AK,66.421,6.928998,0,bottom
J6,GSB1C41110SSHR,GSB1C41110SSHR,5.28,11.265,90,bottom
Q1,DMG2301L-7,SOT-23-3,117.729002,53.664998,180,bottom
Q2,DMG2302UK-7,SOT-23-3,117.729002,49.981998,180,bottom
Q7,DMG2302UK-7,SOT-23-3,20.193002,40.654996,90,bottom
Q11,DMG2302UK-7,SOT-23-3,117.729002,57.474998,180,bottom
Q12,MBT3946DW1T1G,SOT-363_SC-70-6,130.429002,59.633998,-90,bottom
R1,10K0,R_0603_1608Metric,128.651002,73.222998,0,bottom
R2,470K,R_0603_1608Metric,128.651002,76.778998,180,bottom
R3,10K0,R_0603_1608Metric,29.464002,38.297998,-90,bottom
R4,1K00,R_0603_1608Metric,91.440002,31.693998,0,bottom
R7,10K0,R_0603_1608Metric,40.513002,28.518998,180,bottom
R9,10K0,R_0603_1608Metric,40.513002,39.186998,0,bottom
R10,100R,R_0603_1608Metric,43.815002,28.518998,0,bottom
R11,1K00,R_0603_1608Metric,43.815002,30.296998,0,bottom
R12,10K0,R_0603_1608Metric,92.202002,71.825998,180,bottom
R14,100K,R_0603_1608Metric,110.998002,53.664998,-90,bottom
R15,1K00,R_0603_1608Metric,97.790002,43.250998,90,bottom
R16,10K0,R_0603_1608Metric,92.202002,68.269998,180,bottom
R18,100R,R_0603_1608Metric,31.242002,41.599998,90,bottom
R19,10R,R_0603_1608Metric,114.554002,53.664998,-90,bottom
R20,1K00,R_0603_1608Metric,43.815002,39.186998,180,bottom
R22,100R,R_0603_1608Metric,87.884002,38.297998,180,bottom
R26,10K0,R_0603_1608Metric,31.242002,38.297998,90,bottom
R28,47K0,R_0603_1608Metric,128.651002,64.205998,0,bottom
R30,1K00,R_0603_1608Metric,40.513002,30.296998,0,bottom
R31,1K00,R_0603_1608Metric,40.513002,32.074998,0,bottom
R32,20K0,R_0603_1608Metric,123.825002,47.187998,180,bottom
R33,100R,R_0603_1608Metric,120.904002,49.981998,90,bottom
R34,13K0,R_0603_1608Metric,123.825002,43.631998,0,bottom
