Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,4.7U,C_1206_3216Metric,83.312,55.626,90,top
C11,4.7U,C_1206_3216Metric,86.106,55.626,90,top
C12,4.7U,C_1206_3216Metric,88.773,55.626,90,top
C13,4.7U,C_1206_3216Metric,91.44,55.626,90,top
C14,4.7U,C_1206_3216Metric,94.107,55.626,90,top
C15,0.1U,C_0603_1608Metric,78.359,44.704,90,top
C17,4.7U,C_1206_3216Metric,41.656,80.01,0,top
C18,4.7U,C_1206_3216Metric,41.656,77.343,0,top
C19,4.7U,C_1206_3216Metric,41.656,74.676,0,top
C20,4.7U,C_1206_3216Metric,41.656,72.009,0,top
C21,4.7U,C_1206_3216Metric,41.656,69.342,0,top
C25,4.7U,C_1206_3216Metric,75.184,6.858,180,top
C26,1U,C_0603_1608Metric,59.699,37.211,-90,top
C27,1U,C_0603_1608Metric,19.698,46.355,0,top
C30,1U,C_0603_1608Metric,57.921,37.211,-90,top
C31,2200p,C_0603_1608Metric,75.184002,21.914998,180,top
C34,4.7U,C_1206_3216Metric,68.834,14.191,0,top
C35,0.1U,C_0603_1608Metric,68.834,16.477,0,top
C36,0.01U,C_0603_1608Metric,75.184,11.811,180,top
C37,4.7U,C_1206_3216Metric,75.184,9.525,180,top
C38,0.01U,C_0603_1608Metric,67.818,25.748,180,top
C39,220p,C_0603_1608Metric,75.184,27.526,180,top
C45,0.01U,C_0603_1608Metric,73.787,43.688,180,top
C50,100U,CP_Radial_D10.0mm_P5.00mm,139.7,20.274677,-90,top
C51,100U,CP_Radial_D10.0mm_P5.00mm,108.966,20.401677,-90,top
C53,4.7U,C_1206_3216Metric,128.143002,34.360998,90,top
C54,100U,CP_Radial_D10.0mm_P5.00mm,96.266,20.401677,-90,top
C55,100U,CP_Radial_D10.0mm_P5.00mm,127.381,20.274677,-90,top
C57,4.7U,C_1206_3216Metric,130.810002,34.360998,90,top
C59,0.01U,C_0603_1608Metric,133.096002,34.360998,90,top
C60,0.01U,C_0603_1608Metric,135.128002,34.360998,90,top
C63,1U,C_0603_1608Metric,56.016,37.211,-90,top
C64,1U,C_0603_1608Metric,46.999,43.6245,0,top
C65,0.1U,C_0603_1608Metric,46.491,37.2745,0,top
C72,0.01U,C_0603_1608Metric,79.248,54.991,90,top
C79,0.01U,C_0603_1608Metric,81.026,54.991,90,top
C80,2200p,C_0603_1608Metric,79.248,58.293,-90,top
